Disease,Symptom,Medicine
Common Cold,Muscle Weakness,Sumatriptan
Dengue,Chest Pain,Topiramate
Jaundice,Fatigue,Ibuprofen
Vertigo,Diarrhea,Doxycycline
Jaundice,Shortness of breath,Losartan
Allergy,Shortness of breath,Hydrocortisone
Typhoid,Swollen Lymph Nodes,Ranitidine
Psoriasis,Dizziness,Sumatriptan
Glaucoma,Red Eyes,Aspirin
Multiple Sclerosis,Back Pain,Hydrocortisone
Vertigo,Dizziness,Adalimumab
Heart Disease,Joint Pain,Ranitidine
Arthritis,Fatigue,Sildenafil
Asthma,Nausea,Ranitidine
Gastroenteritis,High Blood Pressure,Topiramate
Vertigo,Shortness of breath,Aspirin
Psoriasis,Chest Pain,Ondansetron
Vertigo,Headache,Sumatriptan
Epilepsy,Headache,Sildenafil
Pneumonia,Red Eyes,Ibuprofen
Migraine,Headache,Rifampin
Dengue,Tremors,Topiramate
Fungal Infection,Dizziness,Sildenafil
Bronchitis,Night Sweats,Adalimumab
Common Cold,Muscle Weakness,Propranolol
Psoriasis,Chest Pain,Glibenclamide
Malaria,Swelling,Azithromycin
Glaucoma,Nausea,Cetirizine
Fungal Infection,Tremors,Glibenclamide
Vertigo,Dizziness,Omeprazole
Sinusitis,Red Eyes,Levothyroxine
Common Cold,Fever,Terbinafine
Diabetes,Numbness,Hydrocortisone
Chickenpox,Chest Pain,Levothyroxine
Glaucoma,Back Pain,Isoniazid
Common Cold,Red Eyes,Terbinafine
Epilepsy,Ear Pain,Rifampin
Peptic Ulcer,Diarrhea,Propranolol
Asthma,High Blood Pressure,Loratadine
Ulcerative Colitis,Chest Pain,Sildenafil
Migraine,Joint Pain,Propranolol
Diabetes,Muscle Weakness,Loratadine
Whooping Cough,Skin Rash,Ibuprofen
Glaucoma,Abdominal Pain,Hydrocortisone
Sinusitis,Nausea,Isoniazid
Chickenpox,Diarrhea,Budesonide
Sinusitis,Back Pain,Topiramate
Influenza,Shortness of breath,Glibenclamide
Chronic Kidney Disease,Abdominal Pain,Prednisone
Acne,Swollen Lymph Nodes,Glibenclamide
Psoriasis,Weight Loss,Topiramate
Heart Disease,Ear Pain,Omeprazole
Diabetes,Red Eyes,Hydrocortisone
Chickenpox,Ear Pain,Calamine Lotion
Allergy,Headache,Doxycycline
Psoriasis,Cough,Ondansetron
Typhoid,Runny Nose,Losartan
Eczema,Shortness of breath,Loratadine
Malaria,Tremors,Ranitidine
Psoriasis,Fatigue,Hydrocortisone
Migraine,Fatigue,Amoxicillin
Hypertension,Runny Nose,Sildenafil
Influenza,Cough,Levothyroxine
Heart Disease,Cough,Ondansetron
Acne,Fever,Propranolol
Jaundice,Dizziness,Losartan
Psoriasis,Swollen Lymph Nodes,Metformin
Fungal Infection,Nausea,Ciprofloxacin
Pneumonia,Nausea,Paracetamol
Glaucoma,Dizziness,Budesonide
Glaucoma,Numbness,Metformin
Typhoid,Night Sweats,Prednisone
Lung Cancer,Shortness of breath,Doxycycline
Eczema,Swelling,Adalimumab
Jaundice,Sore Throat,Rifampin
Diabetes,Loss of Appetite,Aspirin
Influenza,Shortness of breath,Cetirizine
Eczema,Numbness,Loperamide
Peptic Ulcer,Runny Nose,Rifampin
Heart Disease,Nausea,Ondansetron
Typhoid,Weight Loss,Cetirizine
Ulcerative Colitis,Abdominal Pain,Adalimumab
Chickenpox,Diarrhea,Sildenafil
Arthritis,Swollen Lymph Nodes,Calamine Lotion
Asthma,Tremors,Ciprofloxacin
Sinusitis,High Blood Pressure,Calamine Lotion
Eczema,Skin Rash,Ciprofloxacin
Epilepsy,Rapid Heartbeat,Prednisone
Bronchitis,High Blood Pressure,Metformin
Influenza,Weight Loss,Paracetamol
Influenza,Swelling,Omeprazole
Typhoid,Sore Throat,Glibenclamide
Asthma,Dizziness,Prednisone
Acne,Loss of Appetite,Losartan
Common Cold,Numbness,Ondansetron
Pneumonia,Runny Nose,Ranitidine
Allergy,Swelling,Levothyroxine
Ulcerative Colitis,Abdominal Pain,Ibuprofen
Bronchitis,Numbness,Ondansetron
Chickenpox,Numbness,Calamine Lotion
Jaundice,Joint Pain,Budesonide
Chronic Kidney Disease,Night Sweats,Loperamide
Arthritis,Back Pain,Omeprazole
Zika Virus,Shortness of breath,Cetirizine
Ulcerative Colitis,Muscle Weakness,Loratadine
Pneumonia,Loss of Appetite,Chloroquine
Malaria,Abdominal Pain,Adalimumab
Hepatitis,High Blood Pressure,Isoniazid
Tuberculosis,Tremors,Azithromycin
Heart Disease,Weight Loss,Loperamide
Migraine,Weight Loss,Terbinafine
COVID-19,Itching,Hydrocortisone
Gastroenteritis,Blurred Vision,Topiramate
Pneumonia,Fever,Levothyroxine
Bronchitis,High Blood Pressure,Omeprazole
Zika Virus,Back Pain,Cetirizine
Multiple Sclerosis,Runny Nose,Ondansetron
Peptic Ulcer,Swollen Lymph Nodes,Chloroquine
Peptic Ulcer,Fever,Chloroquine
Common Cold,Shortness of breath,Levothyroxine
Glaucoma,Joint Pain,Propranolol
Osteoporosis,Muscle Weakness,Paracetamol
Hypertension,Itching,Ibuprofen
Heart Disease,Sore Throat,Chloroquine
Hypertension,Nausea,Cetirizine
Fungal Infection,Red Eyes,Azithromycin
Pneumonia,Diarrhea,Losartan
Hepatitis,Red Eyes,Paracetamol
Chickenpox,High Blood Pressure,Ranitidine
Migraine,Fatigue,Rifampin
Influenza,Red Eyes,Topiramate
Malaria,Chest Pain,Levothyroxine
Hypertension,Rapid Heartbeat,Budesonide
Lung Cancer,Fatigue,Ondansetron
Psoriasis,Skin Rash,Amoxicillin
Bronchitis,Red Eyes,Chloroquine
Hepatitis,Red Eyes,Cetirizine
Tuberculosis,High Blood Pressure,Doxycycline
Sinusitis,Night Sweats,Ondansetron
Arthritis,Nausea,Chloroquine
Psoriasis,Skin Rash,Cetirizine
Tuberculosis,Dizziness,Loperamide
Dengue,Chest Pain,Propranolol
Hypertension,Fatigue,Rifampin
Heart Disease,Back Pain,Ciprofloxacin
Psoriasis,Headache,Prednisone
Chronic Kidney Disease,Back Pain,Doxycycline
Pneumonia,Cough,Aspirin
Arthritis,Nausea,Azithromycin
Psoriasis,Itching,Hydrocortisone
Osteoporosis,Dizziness,Cetirizine
Fungal Infection,Fever,Loratadine
Eczema,Cough,Propranolol
Multiple Sclerosis,Shortness of breath,Ciprofloxacin
Migraine,Joint Pain,Amoxicillin
Ulcerative Colitis,Vomiting,Loratadine
Migraine,Abdominal Pain,Amoxicillin
Bronchitis,Numbness,Sildenafil
Psoriasis,Muscle Weakness,Sildenafil
Allergy,Diarrhea,Ondansetron
Multiple Sclerosis,Sore Throat,Omeprazole
Psoriasis,Back Pain,Hydrocortisone
Common Cold,Swollen Lymph Nodes,Metformin
Glaucoma,Headache,Ondansetron
Eczema,Nausea,Terbinafine
Fungal Infection,Swollen Lymph Nodes,Loratadine
Lung Cancer,Rapid Heartbeat,Levothyroxine
Glaucoma,Vomiting,Adalimumab
Jaundice,Skin Rash,Levothyroxine
Fungal Infection,Runny Nose,Rifampin
Influenza,Night Sweats,Sumatriptan
Vertigo,Diarrhea,Calamine Lotion
Whooping Cough,Runny Nose,Prednisone
Glaucoma,Swelling,Budesonide
Psoriasis,Skin Rash,Sumatriptan
Lung Cancer,Weight Loss,Metformin
Ulcerative Colitis,Night Sweats,Doxycycline
Eczema,Cough,Ciprofloxacin
Allergy,Abdominal Pain,Calamine Lotion
Asthma,Numbness,Sildenafil
Peptic Ulcer,Itching,Losartan
Pneumonia,Chest Pain,Sumatriptan
Migraine,Rapid Heartbeat,Metformin
Pneumonia,Swollen Lymph Nodes,Loperamide
Bronchitis,Weight Loss,Levothyroxine
Sinusitis,Dizziness,Budesonide
Gastroenteritis,Headache,Ibuprofen
Dengue,Rapid Heartbeat,Levothyroxine
Bronchitis,Muscle Weakness,Levothyroxine
Zika Virus,Ear Pain,Aspirin
Acne,Itching,Paracetamol
Jaundice,Headache,Hydrocortisone
Ulcerative Colitis,Shortness of breath,Hydrocortisone
Influenza,Back Pain,Ciprofloxacin
Tuberculosis,Diarrhea,Topiramate
Acne,Red Eyes,Chloroquine
Dengue,Rapid Heartbeat,Prednisone
Hypertension,Back Pain,Azithromycin
Migraine,Swollen Lymph Nodes,Sildenafil
Ulcerative Colitis,Loss of Appetite,Glibenclamide
Typhoid,Red Eyes,Loratadine
Chickenpox,Fatigue,Ondansetron
Common Cold,Swollen Lymph Nodes,Terbinafine
Zika Virus,Red Eyes,Loratadine
Ulcerative Colitis,Rapid Heartbeat,Rifampin
Lung Cancer,Joint Pain,Adalimumab
Gastroenteritis,Headache,Cetirizine
Heart Disease,Cough,Sildenafil
Bronchitis,Cough,Loratadine
Urinary Tract Infection,Vomiting,Aspirin
Arthritis,Back Pain,Ondansetron
Ulcerative Colitis,Runny Nose,Rifampin
Chickenpox,Dizziness,Paracetamol
Chickenpox,Red Eyes,Azithromycin
Acne,Skin Rash,Rifampin
Dengue,Fever,Doxycycline
Fungal Infection,Muscle Weakness,Ondansetron
Fungal Infection,Loss of Appetite,Isoniazid
Epilepsy,Ear Pain,Omeprazole
Psoriasis,Runny Nose,Sumatriptan
Bronchitis,High Blood Pressure,Levothyroxine
Peptic Ulcer,Cough,Ciprofloxacin
Asthma,Runny Nose,Glibenclamide
Chronic Kidney Disease,Weight Loss,Ondansetron
Eczema,Tremors,Chloroquine
Epilepsy,Weight Loss,Paracetamol
Sinusitis,Weight Loss,Loperamide
Psoriasis,Vomiting,Sumatriptan
Acne,Nausea,Ibuprofen
Pneumonia,Sore Throat,Sildenafil
Common Cold,Swelling,Doxycycline
Arthritis,Sore Throat,Sildenafil
Pneumonia,Numbness,Aspirin
Malaria,Abdominal Pain,Loperamide
Zika Virus,Weight Loss,Ciprofloxacin
Urinary Tract Infection,Fever,Adalimumab
Hepatitis,Itching,Budesonide
Bronchitis,Ear Pain,Loperamide
Asthma,Nausea,Loperamide
Arthritis,Swollen Lymph Nodes,Cetirizine
Multiple Sclerosis,Blurred Vision,Propranolol
Influenza,Numbness,Isoniazid
Whooping Cough,Runny Nose,Topiramate
Jaundice,Diarrhea,Ondansetron
Tuberculosis,Blurred Vision,Ibuprofen
Whooping Cough,Runny Nose,Ciprofloxacin
Allergy,Muscle Weakness,Propranolol
Gastroenteritis,Diarrhea,Amoxicillin
Osteoporosis,Loss of Appetite,Terbinafine
Urinary Tract Infection,Rapid Heartbeat,Omeprazole
Peptic Ulcer,Abdominal Pain,Terbinafine
Urinary Tract Infection,Swelling,Ranitidine
Fungal Infection,Muscle Weakness,Losartan
Glaucoma,Headache,Losartan
Whooping Cough,Nausea,Loratadine
Vertigo,Night Sweats,Ciprofloxacin
Influenza,Numbness,Rifampin
Urinary Tract Infection,Skin Rash,Omeprazole
COVID-19,Dizziness,Sumatriptan
Pneumonia,Numbness,Budesonide
Jaundice,Nausea,Loratadine
Bronchitis,Runny Nose,Paracetamol
Chronic Kidney Disease,Numbness,Loperamide
Lung Cancer,Tremors,Omeprazole
Migraine,Sore Throat,Ciprofloxacin
Common Cold,Itching,Prednisone
Urinary Tract Infection,Diarrhea,Metformin
Tuberculosis,Weight Loss,Loratadine
Hypertension,Fatigue,Adalimumab
Migraine,Joint Pain,Doxycycline
Ulcerative Colitis,Sore Throat,Metformin
Whooping Cough,Swollen Lymph Nodes,Calamine Lotion
Heart Disease,Swelling,Terbinafine
Eczema,Rapid Heartbeat,Terbinafine
Peptic Ulcer,Abdominal Pain,Ibuprofen
Sinusitis,Abdominal Pain,Sildenafil
Arthritis,Itching,Omeprazole
Tuberculosis,Chest Pain,Omeprazole
Lung Cancer,Skin Rash,Isoniazid
Chickenpox,Night Sweats,Omeprazole
Lung Cancer,Nausea,Topiramate
Common Cold,Tremors,Prednisone
Diabetes,Rapid Heartbeat,Omeprazole
Pneumonia,Swollen Lymph Nodes,Prednisone
Urinary Tract Infection,Headache,Cetirizine
Zika Virus,Runny Nose,Ibuprofen
Bronchitis,Itching,Sildenafil
Hepatitis,Fever,Chloroquine
Ulcerative Colitis,Cough,Prednisone
Acne,Chest Pain,Adalimumab
Chickenpox,High Blood Pressure,Prednisone
Heart Disease,Swollen Lymph Nodes,Topiramate
Malaria,Diarrhea,Ondansetron
Zika Virus,Diarrhea,Metformin
Osteoporosis,Blurred Vision,Loratadine
Glaucoma,Red Eyes,Rifampin
Vertigo,Swelling,Prednisone
Migraine,Sore Throat,Loratadine
Bronchitis,Swollen Lymph Nodes,Cetirizine
Chickenpox,Ear Pain,Paracetamol
Heart Disease,Vomiting,Paracetamol
Multiple Sclerosis,Ear Pain,Glibenclamide
Hepatitis,Red Eyes,Losartan
Heart Disease,Rapid Heartbeat,Azithromycin
Pneumonia,Numbness,Doxycycline
Acne,Runny Nose,Loratadine
Influenza,Sore Throat,Ibuprofen
Tuberculosis,Night Sweats,Ranitidine
Glaucoma,Vomiting,Levothyroxine
Tuberculosis,Dizziness,Ondansetron
